"name","pubCode","description","startDate","endDate"
"vst.subplot","39_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","39_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","21_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_100","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_1_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","51_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","33_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","24_unknown_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","39_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","48_unknown_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","21_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","39_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_unknown_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_unknown_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_unknown_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_unknown_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_unknown_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_unknown_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_unknown_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_unknown_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","23_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","39_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","21_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","21_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_1_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","23_1_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_1_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_3_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_3_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_3_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_3_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_3_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","21_3_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_25_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_25_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_100_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_100_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","23_unknown_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_1_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_1_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_unknown_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_unknown_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_25_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.tagStatus","ok","Tag is attached to individual and consistent with previously entered value",2012-01-01,NA
"vst.tagStatus","replaced","Tag was no longer attached and has been re-made or reattached",2012-01-01,NA
"vst.tagStatus","mislabeled","TagID was incorrectly recorded and has been reassigned",2012-01-01,2018-11-01
"vst.tagStatus","untagged","Measured individual does not have unique tagID assigned",2012-01-01,2018-11-01
"vst.tagStatus","unknown","Tagged individual could not be re-located for measurement",2012-01-01,2018-11-01
"vst.tagStatus","removed","Tagged individuals no longer qualifies for measurement according to any protocol and tagID will not be used again at the site",2012-01-01,2018-12-31
"vst.tagStatus","notRequired","Measured individual does not have unique tagID assigned, no status reported",2012-01-01,NA
"vst.tagStatus","tagRemoved","Tagged individuals no longer qualifies for measurement according to any protocol and tagID will not be used again at the site",2018-01-01,NA
"Yes or No choice","Y","Yes",2012-01-01,NA
"Yes or No choice","N","No",2012-01-01,NA
"Yes, No, or Unknown choice","Y","Yes",2012-01-01,NA
"Yes, No, or Unknown choice","N","No",2012-01-01,NA
"Yes, No, or Unknown choice","U","Unknown",2012-01-01,NA
